"The data shown here is provided by Statistics Canada from the 2011 Census as a custom data order for the City of Vancouver, using the City's 22 Local Area geography.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reused, reproduced or redistributed provided they are credited to Statistics Canada, Census 2011, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2011 ,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
 Total population 15 years and over by marital status ," 13,590 "," 51,305 "," 17,910 "," 29,225 "," 24,380 "," 28,965 "," 40,445 "," 12,675 "," 24,225 "," 37,445 "," 20,885 "," 23,895 "," 10,955 "," 43,520 "," 18,500 "," 7,490 "," 6,575 "," 11,155 "," 30,035 "," 26,635 "," 42,795 "," 10,855 "," 532,150 "," 1,958,875 "
   Married (and not separated) or living with a or common-law partner ," 7,500 "," 23,065 "," 11,060 "," 13,435 "," 10,355 "," 15,455 "," 21,255 "," 7,205 "," 13,370 "," 17,355 "," 10,510 "," 10,345 "," 6,090 "," 22,760 "," 10,120 "," 4,345 "," 3,455 "," 3,160 "," 17,120 "," 14,305 "," 16,275 "," 6,260 "," 264,100 "," 1,106,575 "
     Married (and not separated) ," 7,025 "," 16,270 "," 10,125 "," 9,150 "," 6,745 "," 13,485 "," 18,435 "," 6,650 "," 12,280 "," 12,070 "," 9,370 "," 6,575 "," 5,775 "," 20,660 "," 8,535 "," 4,065 "," 2,925 "," 2,385 "," 16,175 "," 13,475 "," 9,695 "," 5,495 "," 216,815 "," 970,585 "
     Living common law , 475 ," 6,795 ", 935 ," 4,285 "," 3,610 "," 1,965 "," 2,820 ", 550 ," 1,090 "," 5,290 "," 1,145 "," 3,770 ", 310 ," 2,100 "," 1,585 ", 280 , 535 , 775 , 945 , 825 ," 6,580 ", 765 ," 47,285 "," 135,995 "
   Not living with a married spouse or common-law partner ," 6,090 "," 28,240 "," 6,850 "," 15,795 "," 14,025 "," 13,515 "," 19,190 "," 5,470 "," 10,850 "," 20,090 "," 10,375 "," 13,555 "," 4,870 "," 20,760 "," 8,385 "," 3,145 "," 3,120 "," 8,000 "," 12,915 "," 12,335 "," 26,520 "," 4,595 "," 268,050 "," 852,300 "
     Single (never legally married) ," 4,035 "," 21,780 "," 5,150 "," 10,910 "," 10,175 "," 9,420 "," 13,855 "," 3,970 "," 7,370 "," 15,135 "," 7,350 "," 10,405 "," 3,370 "," 15,005 "," 6,280 "," 2,240 "," 2,195 "," 5,030 "," 9,275 "," 8,435 "," 19,955 "," 3,375 "," 194,265 "," 586,885 "
     Separated , 275 ," 1,365 ", 260 , 740 , 790 , 685 ," 1,060 ", 235 , 540 , 780 , 545 , 715 , 200 , 995 , 405 , 120 , 140 , 505 , 660 , 570 ," 1,115 ", 190 ," 12,850 "," 48,835 "
     Divorced , 755 ," 3,885 ", 695 ," 2,765 "," 2,065 "," 1,715 "," 2,310 ", 700 ," 1,540 "," 2,965 "," 1,455 "," 1,750 ", 495 ," 2,335 ", 910 , 315 , 385 ," 1,385 "," 1,330 "," 1,450 "," 4,085 ", 600 ," 35,825 "," 119,565 "
     Widowed ," 1,025 "," 1,205 ", 745 ," 1,380 ", 995 ," 1,695 "," 1,960 ", 565 ," 1,405 "," 1,205 "," 1,025 ", 685 , 800 ," 2,420 ", 790 , 470 , 405 ," 1,080 "," 1,650 "," 1,880 "," 1,360 ", 430 ," 25,110 "," 97,015 "
   Males 15 years and over by marital status ," 5,990 "," 27,910 "," 8,545 "," 12,805 "," 11,780 "," 14,100 "," 19,605 "," 5,840 "," 11,225 "," 17,320 "," 9,980 "," 11,625 "," 4,980 "," 21,040 "," 8,720 "," 3,465 "," 3,050 "," 6,340 "," 14,540 "," 12,510 "," 22,440 "," 5,115 "," 258,310 "," 948,005 "
     Married (and not separated) or living with a or common-law partner ," 3,630 "," 11,960 "," 5,460 "," 6,800 "," 5,060 "," 7,670 "," 10,540 "," 3,530 "," 6,630 "," 8,640 "," 5,185 "," 5,175 "," 2,965 "," 11,335 "," 5,005 "," 2,130 "," 1,720 "," 1,605 "," 8,505 "," 7,090 "," 8,860 "," 3,080 "," 132,245 "," 551,405 "
       Married (and not separated) ," 3,385 "," 8,235 "," 5,000 "," 4,570 "," 3,320 "," 6,715 "," 9,180 "," 3,245 "," 6,105 "," 5,980 "," 4,605 "," 3,275 "," 2,805 "," 10,300 "," 4,230 "," 1,985 "," 1,450 "," 1,210 "," 8,045 "," 6,685 "," 5,090 "," 2,700 "," 107,850 "," 482,590 "
       Living common law , 250 ," 3,720 ", 460 ," 2,225 "," 1,740 ", 960 ," 1,355 ", 280 , 530 ," 2,660 ", 580 ," 1,900 ", 155 ," 1,035 ", 775 , 145 , 275 , 400 , 460 , 405 ," 3,770 ", 380 ," 24,395 "," 68,815 "
     Not living with a married spouse or common-law partner ," 2,360 "," 15,950 "," 3,080 "," 6,010 "," 6,720 "," 6,425 "," 9,065 "," 2,315 "," 4,590 "," 8,685 "," 4,790 "," 6,455 "," 2,020 "," 9,700 "," 3,715 "," 1,335 "," 1,330 "," 4,735 "," 6,035 "," 5,425 "," 13,575 "," 2,030 "," 126,065 "," 396,605 "
       Single (never legally married) ," 1,960 "," 13,025 "," 2,635 "," 4,655 "," 5,305 "," 5,110 "," 7,315 "," 1,945 "," 3,745 "," 7,170 "," 3,785 "," 5,285 "," 1,640 "," 8,000 "," 3,125 "," 1,100 "," 1,065 "," 3,345 "," 4,945 "," 4,395 "," 11,015 "," 1,700 "," 102,035 "," 313,205 "
       Separated , 80 , 720 , 85 , 280 , 345 , 305 , 430 , 70 , 185 , 315 , 235 , 310 , 70 , 405 , 150 , 45 , 55 , 290 , 270 , 225 , 540 , 60 ," 5,450 "," 19,980 "
       Divorced , 190 ," 1,920 ", 205 , 835 , 875 , 710 , 970 , 205 , 430 , 990 , 585 , 710 , 160 , 890 , 310 , 100 , 125 , 870 , 545 , 520 ," 1,725 ", 180 ," 14,020 "," 45,130 "
       Widowed , 140 , 285 , 155 , 235 , 195 , 310 , 345 , 95 , 230 , 215 , 190 , 150 , 150 , 410 , 130 , 95 , 90 , 230 , 270 , 280 , 295 , 90 ," 4,570 "," 18,290 "
   Females 15 years and over by marital status ," 7,595 "," 23,395 "," 9,365 "," 16,420 "," 12,595 "," 14,865 "," 20,840 "," 6,830 "," 12,995 "," 20,125 "," 10,905 "," 12,270 "," 5,975 "," 22,480 "," 9,785 "," 4,025 "," 3,525 "," 4,815 "," 15,495 "," 14,120 "," 20,360 "," 5,740 "," 273,840 "," 1,010,870 "
     Married (and not separated) or living with a or common-law partner ," 3,870 "," 11,105 "," 5,595 "," 6,630 "," 5,295 "," 7,780 "," 10,720 "," 3,670 "," 6,740 "," 8,720 "," 5,325 "," 5,170 "," 3,125 "," 11,425 "," 5,115 "," 2,215 "," 1,735 "," 1,550 "," 8,610 "," 7,210 "," 7,410 "," 3,175 "," 131,855 "," 555,170 "
       Married (and not separated) ," 3,640 "," 8,030 "," 5,125 "," 4,575 "," 3,425 "," 6,770 "," 9,255 "," 3,410 "," 6,175 "," 6,090 "," 4,760 "," 3,305 "," 2,975 "," 10,355 "," 4,305 "," 2,080 "," 1,475 "," 1,175 "," 8,130 "," 6,790 "," 4,605 "," 2,790 "," 108,965 "," 488,000 "
       Living common law , 225 ," 3,075 ", 470 ," 2,060 "," 1,870 "," 1,010 "," 1,465 ", 270 , 565 ," 2,630 ", 560 ," 1,870 ", 155 ," 1,065 ", 805 , 135 , 255 , 375 , 485 , 425 ," 2,810 ", 385 ," 22,890 "," 67,180 "
     Not living with a married spouse or common-law partner ," 3,725 "," 12,290 "," 3,770 "," 9,785 "," 7,300 "," 7,085 "," 10,120 "," 3,155 "," 6,255 "," 11,405 "," 5,580 "," 7,100 "," 2,845 "," 11,055 "," 4,665 "," 1,810 "," 1,790 "," 3,265 "," 6,880 "," 6,910 "," 12,945 "," 2,565 "," 141,985 "," 455,700 "
       Single (never legally married) ," 2,075 "," 8,755 "," 2,515 "," 6,255 "," 4,870 "," 4,310 "," 6,540 "," 2,025 "," 3,620 "," 7,965 "," 3,570 "," 5,115 "," 1,730 "," 7,005 "," 3,160 "," 1,145 "," 1,130 "," 1,685 "," 4,335 "," 4,040 "," 8,945 "," 1,675 "," 92,240 "," 273,680 "
       Separated , 195 , 645 , 175 , 460 , 440 , 385 , 630 , 160 , 355 , 470 , 315 , 410 , 130 , 595 , 255 , 70 , 85 , 215 , 385 , 345 , 575 , 130 ," 7,405 "," 28,855 "
       Divorced , 565 ," 1,970 ", 495 ," 1,925 "," 1,195 "," 1,005 "," 1,335 ", 495 ," 1,105 "," 1,980 ", 865 ," 1,040 ", 335 ," 1,445 ", 595 , 220 , 255 , 515 , 785 , 930 ," 2,360 ", 420 ," 21,800 "," 74,440 "
       Widowed , 890 , 920 , 590 ," 1,140 ", 795 ," 1,385 "," 1,610 ", 480 ," 1,175 ", 990 , 835 , 535 , 650 ," 2,015 ", 660 , 370 , 320 , 855 ," 1,380 "," 1,600 "," 1,065 ", 340 ," 20,545 "," 78,720 "
 Total number of persons in private households ," 15,460 "," 51,535 "," 21,595 "," 30,285 "," 26,840 "," 33,695 "," 47,065 "," 14,715 "," 28,040 "," 40,940 "," 23,345 "," 26,010 "," 12,345 "," 50,180 "," 21,740 "," 8,485 "," 7,310 "," 9,370 "," 36,100 "," 29,725 "," 44,235 "," 12,760 "," 590,210 "," 2,280,770 "
   Number of persons not in census families ," 2,560 "," 21,645 "," 2,675 "," 12,770 "," 10,255 "," 6,360 "," 9,735 "," 2,415 "," 4,000 "," 16,245 "," 5,560 "," 11,175 "," 2,025 "," 10,030 "," 4,875 "," 1,215 "," 1,680 "," 4,170 "," 5,400 "," 4,145 "," 24,545 "," 2,615 "," 165,840 "," 421,370 "
     Living with relatives , 385 ," 1,255 ", 420 , 530 , 655 ," 1,295 "," 2,015 ", 340 , 960 , 695 , 650 , 670 , 375 ," 2,435 ", 695 , 170 , 215 , 220 ," 1,750 "," 1,390 ", 945 , 225 ," 18,175 "," 63,580 "
     Living with non-relatives only , 455 ," 5,375 ", 980 ," 2,405 "," 3,290 "," 2,170 "," 3,840 ", 515 , 825 ," 4,890 "," 1,175 "," 3,255 ", 450 ," 3,410 "," 1,930 ", 420 , 580 , 830 ," 1,600 "," 1,085 "," 6,165 ", 875 ," 46,455 "," 106,050 "
     Living alone ," 1,725 "," 15,010 "," 1,280 "," 9,830 "," 6,320 "," 2,900 "," 3,885 "," 1,555 "," 2,215 "," 10,665 "," 3,735 "," 7,255 "," 1,205 "," 4,185 "," 2,255 ", 625 , 880 ," 3,125 "," 2,045 "," 1,670 "," 17,435 "," 1,510 "," 101,205 "," 251,745 "
   Number of census family persons ," 12,895 "," 29,895 "," 18,920 "," 17,515 "," 16,580 "," 27,330 "," 37,330 "," 12,300 "," 24,035 "," 24,700 "," 17,785 "," 14,835 "," 10,310 "," 40,150 "," 16,865 "," 7,270 "," 5,630 "," 5,200 "," 30,700 "," 25,585 "," 19,690 "," 10,145 "," 424,370 "," 1,859,400 "
   Number of males in private households ," 7,065 "," 27,260 "," 10,445 "," 13,490 "," 13,025 "," 16,530 "," 23,035 "," 6,885 "," 13,265 "," 19,155 "," 11,400 "," 12,770 "," 5,700 "," 24,490 "," 10,385 "," 4,055 "," 3,470 "," 4,975 "," 17,760 "," 14,400 "," 23,215 "," 6,070 "," 288,095 "," 1,115,555 "
     Number of persons not in census families , 825 ," 12,360 "," 1,085 "," 4,935 "," 5,060 "," 3,075 "," 4,675 ", 860 ," 1,605 "," 7,155 "," 2,715 "," 5,535 ", 710 ," 4,705 "," 2,095 ", 455 , 680 ," 2,470 "," 2,445 "," 1,750 "," 12,900 "," 1,110 "," 79,055 "," 196,635 "
       Living with relatives , 130 , 580 , 155 , 195 , 265 , 450 , 695 , 120 , 300 , 295 , 235 , 260 , 130 , 855 , 235 , 55 , 70 , 115 , 605 , 470 , 425 , 80 ," 6,670 "," 23,920 "
       Living with non-relatives only , 190 ," 3,085 ", 420 ," 1,115 "," 1,665 "," 1,255 "," 2,025 ", 215 , 415 ," 2,380 ", 600 ," 1,660 ", 190 ," 1,895 ", 945 , 145 , 265 , 460 , 860 , 585 ," 3,405 ", 415 ," 24,170 "," 57,060 "
       Living alone , 500 ," 8,685 ", 510 ," 3,625 "," 3,130 "," 1,370 "," 1,955 ", 520 , 885 ," 4,485 "," 1,885 "," 3,615 ", 390 ," 1,955 ", 915 , 245 , 345 ," 1,895 ", 980 , 695 ," 9,070 ", 610 ," 48,215 "," 115,650 "
     Number of census family persons ," 6,240 "," 14,905 "," 9,360 "," 8,555 "," 7,965 "," 13,455 "," 18,365 "," 6,025 "," 11,665 "," 12,000 "," 8,685 "," 7,240 "," 4,990 "," 19,785 "," 8,290 "," 3,600 "," 2,790 "," 2,505 "," 15,315 "," 12,655 "," 10,315 "," 4,965 "," 209,040 "," 918,915 "
   Number of females in private households ," 8,400 "," 24,270 "," 11,145 "," 16,795 "," 13,815 "," 17,160 "," 24,030 "," 7,830 "," 14,770 "," 21,785 "," 11,945 "," 13,235 "," 6,640 "," 25,685 "," 11,360 "," 4,440 "," 3,840 "," 4,395 "," 18,340 "," 15,325 "," 21,020 "," 6,685 "," 302,110 "," 1,165,220 "
     Number of persons not in census families ," 1,740 "," 9,280 "," 1,590 "," 7,835 "," 5,200 "," 3,290 "," 5,065 "," 1,555 "," 2,400 "," 9,090 "," 2,845 "," 5,640 "," 1,315 "," 5,325 "," 2,785 ", 770 ," 1,000 "," 1,700 "," 2,950 "," 2,390 "," 11,640 "," 1,505 "," 86,785 "," 224,735 "
       Living with relatives , 255 , 675 , 265 , 335 , 385 , 845 ," 1,320 ", 215 , 655 , 405 , 415 , 405 , 245 ," 1,585 ", 460 , 115 , 145 , 105 ," 1,145 ", 915 , 520 , 145 ," 11,505 "," 39,660 "
       Living with non-relatives only , 260 ," 2,290 ", 555 ," 1,290 "," 1,625 ", 915 ," 1,815 ", 300 , 410 ," 2,510 ", 575 ," 1,590 ", 260 ," 1,515 ", 990 , 270 , 320 , 365 , 740 , 500 ," 2,760 ", 460 ," 22,285 "," 48,990 "
       Living alone ," 1,225 "," 6,320 ", 770 ," 6,210 "," 3,190 "," 1,530 "," 1,925 "," 1,035 "," 1,330 "," 6,180 "," 1,850 "," 3,645 ", 815 ," 2,225 "," 1,335 ", 380 , 535 ," 1,230 "," 1,065 ", 975 ," 8,365 ", 900 ," 52,990 "," 136,095 "
     Number of census family persons ," 6,660 "," 14,985 "," 9,555 "," 8,960 "," 8,620 "," 13,875 "," 18,965 "," 6,275 "," 12,375 "," 12,695 "," 9,100 "," 7,595 "," 5,325 "," 20,370 "," 8,570 "," 3,675 "," 2,845 "," 2,690 "," 15,390 "," 12,935 "," 9,380 "," 5,185 "," 215,330 "," 940,485 "
 Total number of persons aged 65 years and over in private households ," 2,665 "," 4,205 "," 3,075 "," 3,875 "," 2,835 "," 5,130 "," 5,825 "," 2,400 "," 3,885 "," 4,165 "," 2,760 "," 1,800 "," 2,405 "," 6,785 "," 2,740 "," 1,375 ", 850 ," 2,055 "," 4,865 "," 4,460 "," 5,360 "," 2,075 "," 75,360 "," 293,195 "
   Number of persons not in census families aged 65 years and over ," 1,055 "," 1,760 ", 780 ," 1,995 "," 1,460 "," 1,580 "," 1,745 ", 825 ," 1,220 "," 1,940 "," 1,085 "," 1,025 ", 870 ," 2,130 ", 880 , 335 , 255 ," 1,260 "," 1,375 "," 1,290 "," 3,485 ", 685 ," 28,975 "," 99,835 "
     Living with relatives , 125 , 100 , 145 , 75 , 150 , 510 , 685 , 130 , 385 , 100 , 230 , 115 , 150 , 870 , 220 , 70 , 70 , 45 , 690 , 575 , 85 , 90 ," 5,600 "," 21,475 "
     Living with non-relatives only , 35 , 65 , 80 , 70 , 100 , 110 , 165 , 50 , 60 , 100 , 70 , 65 , 45 , 145 , 90 , 50 , 25 , 55 , 95 , 90 , 170 , 55 ," 1,795 "," 5,995 "
     Living alone , 890 ," 1,605 ", 555 ," 1,845 "," 1,210 ", 950 , 895 , 645 , 775 ," 1,745 ", 785 , 845 , 680 ," 1,110 ", 565 , 210 , 155 ," 1,160 ", 595 , 625 ," 3,225 ", 540 ," 21,575 "," 72,365 "
   Number of census family persons aged 65 years and over ," 1,615 "," 2,440 "," 2,295 "," 1,885 "," 1,375 "," 3,550 "," 4,080 "," 1,575 "," 2,665 "," 2,225 "," 1,670 ", 775 ," 1,535 "," 4,655 "," 1,865 "," 1,045 ", 590 , 800 ," 3,490 "," 3,165 "," 1,880 "," 1,390 "," 46,390 "," 193,360 "
   Number of males aged 65 years and over in private households ," 1,050 "," 2,260 "," 1,465 "," 1,545 "," 1,290 "," 2,335 "," 2,660 "," 1,050 "," 1,745 "," 1,825 "," 1,260 ", 845 ," 1,075 "," 3,025 "," 1,220 ", 685 , 370 , 990 ," 2,230 "," 2,015 "," 2,565 ", 945 ," 34,365 "," 134,660 "
     Number of persons not in census families aged 65 years and over , 185 , 835 , 205 , 500 , 580 , 445 , 525 , 195 , 305 , 590 , 345 , 425 , 225 , 560 , 245 , 95 , 65 , 575 , 380 , 315 ," 1,500 ", 180 ," 9,275 "," 29,055 "
       Living with relatives , 15 , 25 , 25 , 10 , 30 , 95 , 125 , 30 , 70 , 25 , 45 , 25 , 35 , 160 , 45 , 10 , 10 , 20 , 155 , 110 , 15 , 10 ," 1,085 "," 4,520 "
       Living with non-relatives only , 10 , 40 , 20 , 25 , 50 , 65 , 70 , 20 , 25 , 55 , 25 , 30 , 15 , 65 , 45 , 20 , 15 , 30 , 45 , 40 , 120 , 20 , 845 ," 2,860 "
       Living alone , 160 , 770 , 160 , 475 , 505 , 285 , 330 , 145 , 215 , 510 , 285 , 370 , 175 , 335 , 150 , 65 , 40 , 530 , 185 , 165 ," 1,365 ", 150 ," 7,345 "," 21,675 "
     Number of census family persons aged 65 years and over       , 865 ," 1,430 "," 1,265 "," 1,040 ", 710 ," 1,895 "," 2,130 ", 855 ," 1,440 "," 1,240 ", 910 , 420 , 845 ," 2,465 ", 980 , 590 , 305 , 410 ," 1,850 "," 1,700 "," 1,065 ", 765 ," 25,080 "," 105,605 "
   Number of females aged 65 years and over in private households ," 1,610 "," 1,940 "," 1,610 "," 2,325 "," 1,545 "," 2,795 "," 3,165 "," 1,350 "," 2,140 "," 2,340 "," 1,500 ", 950 ," 1,335 "," 3,760 "," 1,515 ", 690 , 480 ," 1,070 "," 2,635 "," 2,440 "," 2,795 "," 1,130 "," 41,000 "," 158,535 "
     Number of persons not in census families aged 65 years and over , 865 , 930 , 575 ," 1,485 ", 880 ," 1,135 "," 1,220 ", 630 , 920 ," 1,350 ", 735 , 595 , 645 ," 1,570 ", 635 , 230 , 190 , 685 , 995 , 975 ," 1,975 ", 500 ," 19,690 "," 70,780 "
       Living with relatives , 110 , 70 , 125 , 70 , 120 , 415 , 555 , 100 , 320 , 75 , 185 , 95 , 115 , 710 , 180 , 55 , 55 , 30 , 535 , 465 , 65 , 70 ," 4,510 "," 16,955 "
       Living with non-relatives only , 30 , 20 , 60 , 50 , 50 , 50 , 95 , 25 , 35 , 45 , 45 , 35 , 25 , 80 , 40 , 35 , 10 , 25 , 55 , 50 , 50 , 40 , 945 ," 3,135 "
       Living alone , 730 , 835 , 395 ," 1,375 ", 705 , 670 , 565 , 500 , 565 ," 1,235 ", 500 , 475 , 505 , 780 , 415 , 145 , 120 , 630 , 410 , 460 ," 1,860 ", 390 ," 14,235 "," 50,690 "
     Number of census family persons aged 65 years and over , 750 ," 1,010 "," 1,035 ", 845 , 665 ," 1,665 "," 1,950 ", 720 ," 1,225 ", 985 , 760 , 350 , 690 ," 2,190 ", 885 , 455 , 285 , 380 ," 1,635 "," 1,470 ", 815 , 625 ," 21,305 "," 87,755 "
 Total number of census families in private households ," 4,275 "," 12,500 "," 6,105 "," 7,410 "," 6,335 "," 9,250 "," 12,555 "," 4,065 "," 8,080 "," 9,760 "," 6,075 "," 5,920 "," 3,450 "," 13,525 "," 5,810 "," 2,350 "," 1,965 "," 1,925 "," 9,860 "," 8,345 "," 8,765 "," 3,455 "," 151,335 "," 633,460 "
   Size of census family: 2 persons ," 1,690 "," 9,025 "," 2,370 "," 5,485 "," 3,855 "," 4,085 "," 5,420 "," 1,745 "," 3,450 "," 6,355 "," 2,670 "," 3,940 "," 1,490 "," 5,830 "," 2,730 "," 1,000 ", 965 ," 1,155 "," 3,890 "," 3,305 "," 7,150 "," 1,620 "," 79,030 "," 294,460 "
   Size of census family: 3 persons ," 1,185 "," 2,255 "," 1,460 "," 1,250 "," 1,355 "," 2,355 "," 3,335 ", 965 ," 2,075 "," 1,890 "," 1,650 "," 1,145 ", 865 ," 3,570 "," 1,405 ", 495 , 450 , 385 ," 2,375 "," 2,165 "," 1,130 ", 745 ," 34,390 "," 148,635 "
   Size of census family: 4 persons ," 1,080 "," 1,045 "," 1,705 ", 580 , 890 ," 2,125 "," 2,790 ", 950 ," 1,975 "," 1,285 "," 1,380 ", 675 , 815 ," 3,075 "," 1,285 ", 560 , 425 , 260 ," 2,490 "," 2,055 ", 435 , 825 ," 28,630 "," 140,635 "
   Size of census family: 5 or more persons , 315 , 175 , 570 , 95 , 240 , 685 ," 1,010 ", 400 , 585 , 230 , 375 , 155 , 275 ," 1,050 ", 395 , 295 , 125 , 130 ," 1,095 ", 815 , 55 , 265 ," 9,280 "," 49,730 "
 Total number of census families in private households ," 4,275 "," 12,500 "," 6,105 "," 7,410 "," 6,335 "," 9,255 "," 12,555 "," 4,070 "," 8,080 "," 9,755 "," 6,075 "," 5,920 "," 3,450 "," 13,525 "," 5,810 "," 2,350 "," 1,965 "," 1,930 "," 9,855 "," 8,345 "," 8,760 "," 3,455 "," 151,330 "," 633,460 "
   Total couple families by family structure and number of children ," 3,505 "," 11,080 "," 5,370 "," 6,465 "," 5,055 "," 7,450 "," 10,155 "," 3,455 "," 6,440 "," 8,470 "," 4,970 "," 5,025 "," 2,860 "," 10,885 "," 4,910 "," 2,055 "," 1,645 "," 1,400 "," 8,150 "," 6,715 "," 7,840 "," 3,045 "," 126,605 "," 535,180 "
     Married couples ," 3,270 "," 7,700 "," 4,905 "," 4,330 "," 3,250 "," 6,470 "," 8,750 "," 3,180 "," 5,890 "," 5,825 "," 4,400 "," 3,140 "," 2,705 "," 9,835 "," 4,120 "," 1,915 "," 1,380 "," 1,030 "," 7,675 "," 6,305 "," 4,555 "," 2,670 "," 103,030 "," 467,335 "
       Without children at home ," 1,060 "," 4,810 "," 1,645 "," 2,825 "," 1,545 "," 2,370 "," 2,995 "," 1,160 "," 2,075 "," 3,100 "," 1,475 "," 1,645 "," 1,010 "," 3,505 "," 1,545 ", 720 , 545 , 570 ," 2,530 "," 2,100 "," 3,280 "," 1,090 "," 43,510 "," 185,300 "
       With children at home ," 2,205 "," 2,890 "," 3,260 "," 1,505 "," 1,705 "," 4,095 "," 5,755 "," 2,020 "," 3,815 "," 2,725 "," 2,925 "," 1,495 "," 1,695 "," 6,330 "," 2,570 "," 1,190 ", 830 , 460 ," 5,140 "," 4,205 "," 1,275 "," 1,580 "," 59,520 "," 282,035 "
           1 child , 905 ," 1,775 "," 1,130 ", 900 , 830 ," 1,635 "," 2,400 ", 745 ," 1,515 "," 1,395 "," 1,290 ", 800 , 670 ," 2,645 "," 1,065 ", 390 , 320 , 190 ," 1,825 "," 1,595 ", 840 , 565 ," 25,375 "," 109,940 "
           2 children ," 1,010 ", 955 ," 1,585 ", 520 , 680 ," 1,860 "," 2,445 ", 885 ," 1,780 "," 1,125 "," 1,270 ", 560 , 755 ," 2,730 "," 1,140 ", 515 , 390 , 180 ," 2,290 "," 1,870 ", 385 , 770 ," 25,650 "," 126,705 "
           3 or more children , 300 , 155 , 545 , 85 , 195 , 605 , 905 , 390 , 520 , 200 , 355 , 135 , 270 , 950 , 360 , 285 , 120 , 95 ," 1,025 ", 745 , 45 , 245 ," 8,490 "," 45,390 "
     Common-law couples , 235 ," 3,380 ", 465 ," 2,135 "," 1,805 ", 985 ," 1,410 ", 275 , 545 ," 2,645 ", 570 ," 1,885 ", 155 ," 1,045 ", 790 , 140 , 265 , 365 , 475 , 410 ," 3,285 ", 380 ," 23,580 "," 67,845 "
       Without children at home , 185 ," 3,145 ", 300 ," 1,910 "," 1,405 ", 645 , 935 , 200 , 345 ," 2,295 ", 450 ," 1,660 ", 115 , 675 , 580 , 105 , 220 , 270 , 290 , 240 ," 3,105 ", 280 ," 19,305 "," 48,140 "
       With children at home , 55 , 235 , 165 , 225 , 400 , 340 , 470 , 75 , 200 , 350 , 120 , 230 , 40 , 370 , 215 , 35 , 50 , 100 , 180 , 170 , 180 , 100 ," 4,275 "," 19,705 "
           1 child , 25 , 180 , 75 , 165 , 240 , 175 , 265 , 50 , 90 , 225 , 70 , 150 , 20 , 175 , 115 , 15 , 30 , 55 , 75 , 75 , 135 , 50 ," 2,445 "," 10,235 "
           2 children , 30 , 50 , 70 , 45 , 135 , 125 , 150 , 25 , 85 , 110 , 45 , 55 , 15 , 140 , 85 , 15 , 15 , 30 , 75 , 65 , 35 , 30 ," 1,415 "," 6,895 "
           3 or more children , 5 , 10 , 20 , 5 , 25 , 35 , 55 , 5 , 25 , 20 , 5 , 15 , -   , 55 , 20 , 5 , -   , 15 , 30 , 35 , 5 , 10 , 405 ," 2,570 "
   Total lone-parent families by sex of parent and number of children , 765 ," 1,420 ", 735 , 940 ," 1,285 "," 1,800 "," 2,400 ", 615 ," 1,640 "," 1,290 "," 1,105 ", 895 , 590 ," 2,645 ", 905 , 295 , 320 , 525 ," 1,710 "," 1,630 ", 925 , 405 ," 24,725 "," 98,280 "
       Female parent , 675 ," 1,175 ", 590 , 790 ," 1,040 "," 1,385 "," 1,920 ", 515 ," 1,375 "," 1,060 ", 905 , 740 , 485 ," 2,120 ", 735 , 240 , 250 , 435 ," 1,375 "," 1,315 ", 750 , 345 ," 20,125 "," 78,930 "
         1 child , 385 , 880 , 340 , 635 , 710 , 810 ," 1,185 ", 320 , 850 , 780 , 610 , 515 , 290 ," 1,310 ", 500 , 135 , 160 , 250 , 855 , 775 , 615 , 210 ," 13,055 "," 48,165 "
         2 children , 235 , 245 , 205 , 150 , 240 , 425 , 530 , 145 , 415 , 235 , 235 , 170 , 150 , 605 , 170 , 70 , 80 , 115 , 385 , 415 , 120 , 110 ," 5,435 "," 23,390 "
         3 or more children , 50 , 50 , 45 , 15 , 85 , 150 , 200 , 50 , 110 , 45 , 65 , 50 , 40 , 210 , 60 , 30 , 15 , 70 , 135 , 125 , 10 , 25 ," 1,635 "," 7,365 "
       Male parent , 90 , 245 , 140 , 150 , 245 , 415 , 485 , 100 , 265 , 230 , 200 , 155 , 105 , 520 , 170 , 55 , 70 , 95 , 335 , 315 , 175 , 65 ," 4,605 "," 19,350 "
         1 child , 60 , 195 , 85 , 115 , 200 , 265 , 305 , 70 , 185 , 175 , 140 , 120 , 70 , 340 , 110 , 35 , 45 , 65 , 220 , 200 , 145 , 40 ," 3,160 "," 12,855 "
         2 children , 25 , 50 , 50 , 35 , 35 , 120 , 135 , 20 , 55 , 40 , 50 , 25 , 25 , 145 , 50 , 15 , 20 , 25 , 95 , 85 , 30 , 20 ," 1,135 "," 5,060 "
