,YEAR,BNE Residential/Other,Theft from Vehicle,Other Theft,Mischief,Theft of Vehicle,BNE Commercial
314485,2010,1,0,0,0,0,0
314486,2010,0,1,0,0,0,0
314487,2010,0,0,1,0,0,0
314488,2010,0,1,0,0,0,0
314489,2010,0,0,1,0,0,0
314490,2010,0,0,1,0,0,0
314491,2010,0,1,0,0,0,0
314492,2010,0,1,0,0,0,0
314493,2010,0,1,0,0,0,0
314494,2010,0,1,0,0,0,0
314495,2010,0,1,0,0,0,0
314496,2010,0,1,0,0,0,0
314497,2010,1,0,0,0,0,0
314498,2010,1,0,0,0,0,0
314499,2010,1,0,0,0,0,0
314500,2010,0,1,0,0,0,0
314501,2010,0,0,0,1,0,0
314502,2010,0,1,0,0,0,0
314503,2010,0,1,0,0,0,0
314504,2010,1,0,0,0,0,0
314505,2010,0,1,0,0,0,0
314506,2010,0,1,0,0,0,0
314507,2010,0,1,0,0,0,0
314508,2010,0,1,0,0,0,0
314509,2010,0,1,0,0,0,0
314510,2010,0,0,1,0,0,0
314511,2010,0,1,0,0,0,0
314512,2010,0,1,0,0,0,0
314513,2010,0,0,1,0,0,0
314514,2010,1,0,0,0,0,0
314515,2010,0,0,1,0,0,0
314516,2010,0,1,0,0,0,0
314517,2010,0,0,0,1,0,0
314518,2010,0,1,0,0,0,0
314519,2010,0,0,1,0,0,0
314520,2010,0,0,0,0,1,0
314521,2010,0,0,1,0,0,0
314522,2010,0,0,0,0,1,0
314523,2010,0,1,0,0,0,0
314524,2010,0,1,0,0,0,0
314525,2010,1,0,0,0,0,0
314526,2010,0,0,0,0,1,0
314527,2010,0,0,1,0,0,0
314528,2010,0,0,0,0,1,0
314529,2010,1,0,0,0,0,0
314530,2010,0,0,0,0,1,0
314531,2010,1,0,0,0,0,0
314532,2010,0,0,1,0,0,0
314533,2010,0,0,0,1,0,0
314534,2010,0,0,0,1,0,0
314535,2010,0,0,0,1,0,0
314536,2010,1,0,0,0,0,0
314537,2010,0,1,0,0,0,0
314538,2010,0,0,1,0,0,0
314539,2010,0,0,0,1,0,0
314540,2010,0,1,0,0,0,0
314541,2010,1,0,0,0,0,0
314542,2010,0,0,0,1,0,0
314543,2010,1,0,0,0,0,0
314544,2010,0,0,1,0,0,0
314545,2010,0,0,0,1,0,0
314546,2010,0,0,1,0,0,0
314547,2010,0,0,0,1,0,0
314548,2010,0,0,1,0,0,0
314549,2010,0,0,0,1,0,0
314550,2010,1,0,0,0,0,0
314551,2010,1,0,0,0,0,0
314552,2010,0,0,1,0,0,0
314553,2010,1,0,0,0,0,0
314554,2010,1,0,0,0,0,0
314555,2010,0,0,0,1,0,0
314556,2010,0,0,1,0,0,0
314557,2010,0,0,0,0,1,0
314558,2010,0,0,1,0,0,0
314559,2010,1,0,0,0,0,0
314560,2010,0,1,0,0,0,0
314561,2010,0,0,0,1,0,0
314562,2010,1,0,0,0,0,0
314563,2010,0,0,0,1,0,0
314564,2010,0,0,1,0,0,0
314565,2010,0,0,1,0,0,0
314566,2010,0,0,1,0,0,0
314567,2010,0,0,1,0,0,0
314568,2010,0,0,1,0,0,0
314569,2010,0,0,1,0,0,0
314570,2010,0,0,1,0,0,0
314571,2010,0,0,1,0,0,0
314572,2010,0,0,1,0,0,0
314573,2010,0,0,1,0,0,0
314574,2010,1,0,0,0,0,0
314575,2010,0,0,1,0,0,0
314576,2010,1,0,0,0,0,0
314577,2010,0,0,0,0,1,0
314578,2010,0,0,1,0,0,0
314579,2010,0,0,0,1,0,0
314580,2010,0,0,1,0,0,0
314581,2010,0,0,1,0,0,0
314582,2010,1,0,0,0,0,0
314583,2010,0,0,1,0,0,0
314584,2010,0,0,1,0,0,0
314585,2010,0,0,1,0,0,0
314586,2010,0,1,0,0,0,0
314587,2010,0,0,1,0,0,0
314588,2010,0,1,0,0,0,0
314589,2010,0,0,0,1,0,0
314590,2010,0,0,0,1,0,0
314591,2010,0,0,0,1,0,0
314592,2010,0,0,1,0,0,0
314593,2010,0,0,1,0,0,0
314594,2010,0,0,1,0,0,0
314595,2010,0,0,0,1,0,0
314596,2010,0,1,0,0,0,0
314597,2010,0,0,0,1,0,0
314598,2010,0,1,0,0,0,0
314599,2010,0,0,1,0,0,0
314600,2010,0,1,0,0,0,0
314601,2010,0,0,0,1,0,0
314602,2010,0,0,0,1,0,0
314603,2010,0,0,1,0,0,0
314604,2010,0,1,0,0,0,0
314605,2010,0,0,1,0,0,0
314606,2010,0,0,1,0,0,0
314607,2010,0,1,0,0,0,0
314608,2010,0,1,0,0,0,0
314609,2010,0,1,0,0,0,0
314610,2010,0,0,1,0,0,0
314611,2010,0,0,0,1,0,0
314612,2010,0,1,0,0,0,0
314613,2010,0,1,0,0,0,0
314614,2010,0,0,0,1,0,0
314615,2010,0,0,0,0,1,0
314616,2010,0,1,0,0,0,0
314617,2010,1,0,0,0,0,0
314618,2010,0,0,0,1,0,0
314619,2010,0,1,0,0,0,0
314620,2010,0,1,0,0,0,0
314621,2010,0,0,0,1,0,0
314622,2010,1,0,0,0,0,0
314623,2010,1,0,0,0,0,0
314624,2010,1,0,0,0,0,0
314625,2010,0,0,1,0,0,0
314626,2010,1,0,0,0,0,0
314627,2010,1,0,0,0,0,0
314628,2010,0,0,1,0,0,0
314629,2010,0,1,0,0,0,0
314630,2010,0,0,0,1,0,0
314631,2010,0,1,0,0,0,0
314632,2010,0,1,0,0,0,0
314633,2010,0,0,1,0,0,0
